Zaman,Dosya,Kural,Icerik
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:21:18.780868-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:21:18.780868-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:21:21.660167-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/systemctl enable rsyslog
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:21:21.660167-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/systemctl enable rsyslog
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:21:21.662177-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:21:21.662177-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:21:21.933938-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:21:21.933938-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:21:21.974409-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/systemctl start rsyslog
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:21:21.974409-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/systemctl start rsyslog
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:21:21.976338-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:21:21.976338-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:21:21.994521-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:21:21.994521-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:22:11.459780-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker build -t samet_duruk_log_projesi .
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:22:11.459780-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker build -t samet_duruk_log_projesi .
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:22:11.461187-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:22:11.461187-05:00 kali sudo: pam_unix(sudo:session): session opened for user root(uid=0) by drk(uid=0)
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:22:12.570094-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:22:12.570094-05:00 kali sudo: pam_unix(sudo:session): session closed for user root
Sat Jan 31 17:59:25 2026,/var/log/auth.log,root,2026-01-31T05:22:38.792040-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log samet_duruk_log_projesi
Sat Jan 31 17:59:25 2026,/var/log/auth.log,sudo,2026-01-31T05:22:38.792040-05:00 kali sudo:     root : TTY=pts/1 ; PWD=/home/drk/Desktop/samet_duruk_log_projesi ; USER=root ; COMMAND=/usr/bin/docker run -it -v /var/log:/var/log samet_duruk_log_projesi
